Feature,Interest_512,Compound_Name,NPC_Class,NPC_Pathway,ClassyFire_Class
1244261,Yes,NA,Tripeptides,Amino acids and Peptides,Oligopeptides
1244602,Yes,NA,Dicarboxylic acids,Fatty acids,Fatty acid esters
1245593,Yes,NA,Pyrrolidine alkaloids,Alkaloids,Amino acids and derivatives
1245612,Yes,NA,N-acyl amines,Fatty acids,Alpha amino acids
1247165,Yes,NA,Tripeptides,Amino acids and Peptides,Oligopeptides
1251363,Yes,NA,Dipeptides,Alkaloids,Alpha amino acid esters
1266196,Yes,NA,Tripeptides,Amino acids and Peptides,Oligopeptides
1306390,Yes,NA,Pregnane steroids,Terpenoids,Azasteroids and derivatives
1348223,Yes,NA,N-acyl amines,Fatty acids,N-acyl-alpha amino acids and derivatives
1348261,Yes,NA,N-acyl amines,Fatty acids,N-acyl-alpha amino acids and derivatives
1352424,Yes,"""(R)-4-((3R,5S,7R,8R,9S,10S,12S,13R,14S,17R)-3,7,12-trihydroxy-10,13-dimethylhexadecahydro-1H-cyclopenta[a]phenanthren-17-yl)pentanoic acid""",Cholane steroids,Terpenoids,"Monohydroxy bile acids, alcohols and derivatives"
1352526,Yes,"""(4R)-4-((3R,5R,6R,9S,10R,12S,13R,14S,17R)-3,6,12-trihydroxy-10,13-dimethylhexadecahydro-1H-cyclopenta[a]phenanthren-17-yl)pentanoic acid""",Cholane steroids,Terpenoids,"Monohydroxy bile acids, alcohols and derivatives"
1352603,Yes,"""(R)-4-((3S,5S,7S,8R,9S,10S,12R,13R,14S,17R)-3,7,12-trihydroxy-10,13-dimethylhexadecahydro-1H-cyclopenta[a]phenanthren-17-yl)pentanoic acid""",Cholane steroids,Terpenoids,"Monohydroxy bile acids, alcohols and derivatives"
1352633,Yes,"""(4R)-4-((3R,4R,5S,7R,9S,10R,13R,14S,17R)-3,4,7-trihydroxy-10,13-dimethylhexadecahydro-1H-cyclopenta[a]phenanthren-17-yl)pentanoic acid""",Cholane steroids,Terpenoids,"Bile acids, alcohols and derivatives"
1352639,Yes,"""(R)-4-((3R,5S,7S,8R,9S,10S,13R,14S,17R)-3,7-dihydroxy-10,13-dimethylhexadecahydro-1H-cyclopenta[a]phenanthren-17-yl)pent-2-enoic acid""",Cholane steroids,Terpenoids,"Monohydroxy bile acids, alcohols and derivatives"
1352670,Yes,"""(4R)-4-((3R,5S,7R,9S,10S,13R,14S,15R,17R)-3,7,15-trihydroxy-10,13-dimethylhexadecahydro-1H-cyclopenta[a]phenanthren-17-yl)pentanoic acid""",Cholane steroids,Terpenoids,"Monohydroxy bile acids, alcohols and derivatives"
1352673,Yes,NA,Cholestane steroids,Terpenoids,"Monohydroxy bile acids, alcohols and derivatives"
1352678,Yes,"""(R)-4-((3R,5R,6R,7R,8S,9S,10R,13R,14S,17R)-3,6,7-trihydroxy-10,13-dimethylhexadecahydro-1H-cyclopenta[a]phenanthren-17-yl)pentanoic acid""",Cholestane steroids,Terpenoids,"Monohydroxy bile acids, alcohols and derivatives"
1352712,Yes,Cholic acid,Cholane steroids,Terpenoids,"Monohydroxy bile acids, alcohols and derivatives"
1352756,Yes,"""(R)-4-((3R,5R,6R,7R,8S,9S,10R,13R,14S,17R)-3,6,7-trihydroxy-10,13-dimethylhexadecahydro-1H-cyclopenta[a]phenanthren-17-yl)pentanoic acid""",Cholane steroids,Terpenoids,"Monohydroxy bile acids, alcohols and derivatives"
1352793,Yes,NA,Polyamines,Alkaloids,N-aliphatic s-triazines
1352797,Yes,"""(4R)-4-((3R,4R,5S,7R,9S,10R,13R,14S,17R)-3,4,7-trihydroxy-10,13-dimethylhexadecahydro-1H-cyclopenta[a]phenanthren-17-yl)pentanoic acid""",Cholane steroids,Terpenoids,"Bile acids, alcohols and derivatives"
1352844,Yes,"""(R)-4-((3R,5R,6R,7R,8S,9S,10R,13R,14S,17R)-3,6,7-trihydroxy-10,13-dimethylhexadecahydro-1H-cyclopenta[a]phenanthren-17-yl)pentanoic acid""",Cholane steroids,Terpenoids,"Monohydroxy bile acids, alcohols and derivatives"
1352926,Yes,Cholic acid,Cholane steroids,Terpenoids,"Monohydroxy bile acids, alcohols and derivatives"
1356362,Yes,NA,Tripeptides,Amino acids and Peptides,Oligopeptides
1357110,Yes,NA,Monoacylglycerols,Fatty acids,2-monoacylglycerols
1357111,Yes,NA,Monoacylglycerols,Fatty acids,1-monoacylglycerols
1357113,Yes,NA,Monoacylglycerols,Fatty acids,Monoacylglycerols
1357116,Yes,NA,Monoacylglycerols,Fatty acids,Monoacylglycerols
1362772,Yes,NA,Unsaturated fatty acids,Fatty acids,Eicosanoids
1363532,Yes,"""(R)-4-((3S,5S,8R,9S,10S,12S,13R,14S,17R)-3,12-dihydroxy-10,13-dimethylhexadecahydro-1H-cyclopenta[a]phenanthren-17-yl)pentanoic acid""",Cholane steroids,Terpenoids,"Monohydroxy bile acids, alcohols and derivatives"
1363852,Yes,"""(R)-4-((1R,3S,5R,8S,9S,10S,13R,14S,17R)-1,3-dihydroxy-10,13-dimethylhexadecahydro-1H-cyclopenta[a]phenanthren-17-yl)pentanoic acid""",Cholane steroids,Terpenoids,"Monohydroxy bile acids, alcohols and derivatives"
1363970,Yes,"""(R)-4-((1R,3S,5R,8S,9S,10S,13R,14S,17R)-1,3-dihydroxy-10,13-dimethylhexadecahydro-1H-cyclopenta[a]phenanthren-17-yl)pentanoic acid""",Cholane steroids,Terpenoids,"Hydroxy bile acids, alcohols and derivatives"
1364317,Yes,"""(R)-4-((1R,3S,5R,8S,9S,10S,13R,14S,17R)-1,3-dihydroxy-10,13-dimethylhexadecahydro-1H-cyclopenta[a]phenanthren-17-yl)pentanoic acid""",Cholane steroids,Terpenoids,"Hydroxy bile acids, alcohols and derivatives"
1364356,Yes,"""(R)-4-((1R,3S,5R,8S,9S,10S,13R,14S,17R)-1,3-dihydroxy-10,13-dimethylhexadecahydro-1H-cyclopenta[a]phenanthren-17-yl)pentanoic acid""",Cholane steroids,Terpenoids,"Monohydroxy bile acids, alcohols and derivatives"
1364618,Yes,"""(4R)-4-((3R,5R,6S,9S,10R,13R,14S,17R)-3,6-dihydroxy-10,13-dimethylhexadecahydro-1H-cyclopenta[a]phenanthren-17-yl)pentanoic acid""",Cholane steroids,Terpenoids,"Monohydroxy bile acids, alcohols and derivatives"
1364740,Yes,NA,Cholane steroids,Terpenoids,"Monohydroxy bile acids, alcohols and derivatives"
1373116,Yes,NA,Dipeptides,Amino acids and Peptides,Dipeptides
1373131,Yes,NA,Dipeptides,Amino acids and Peptides,Dipeptides
1375260,Yes,NA,pteridine alkaloids,Alkaloids,Alloxazines and isoalloxazines
1382396,Yes,NA,Monoacylglycerols,Fatty acids,Other hydroxyeicosapolyenoic acids
1397718,Yes,NA,Dipeptides,Amino acids and Peptides,Oligopeptides
1437123,Yes,NA,Tripeptides,Amino acids and Peptides,Oligopeptides
1437155,Yes,NA,Tripeptides,Amino acids and Peptides,Oligopeptides
1459940,Yes,NA,Imidazole alkaloids,Alkaloids,Alpha amino acids and derivatives
1464819,Yes,"""(4R)-4-((3S,5S,7S,9S,10S,13R,14S,17R)-3,7-dihydroxy-10,13-dimethyl-12-oxohexadecahydro-1H-cyclopenta[a]phenanthren-17-yl)pentanoic acid""",Cholane steroids,Terpenoids,"Bile acids, alcohols and derivatives"
1464928,Yes,"""(4R)-4-((3S,5S,7S,9S,10S,13R,14S,17R)-3,7-dihydroxy-10,13-dimethyl-12-oxohexadecahydro-1H-cyclopenta[a]phenanthren-17-yl)pentanoic acid""",Cholane steroids,Terpenoids,"Bile acids, alcohols and derivatives"
1464943,Yes,NA,Cholane steroids,Terpenoids,"Monohydroxy bile acids, alcohols and derivatives"
1481713,Yes,"""(4R)-4-((3R,5R,6R,7R,9S,10R,13R,14S,17R)-3,6,7-trihydroxy-10,13-dimethylhexadecahydro-1H-cyclopenta[a]phenanthren-17-yl)pentanoic acid""",Cholane steroids,Terpenoids,"Dihydroxy bile acids, alcohols and derivatives"
1483036,Yes,Spectral Match to 12-Ketodeoxycholic acid from NIST14,Cholane steroids,Terpenoids,"Monohydroxy bile acids, alcohols and derivatives"
1483960,Yes,"""(4R)-4-((3R,5R,6S,7R,9S,10R,13R,14S,17R)-3,6,7-trihydroxy-10,13-dimethylhexadecahydro-1H-cyclopenta[a]phenanthren-17-yl)pentanoic acid""",Cholane steroids,Terpenoids,"Hydroxy bile acids, alcohols and derivatives"
1484817,Yes,"""(R)-4-((3R,5R,6S,7R,8S,9S,10R,13R,14S,17R)-3,6,7-trihydroxy-10,13-dimethylhexadecahydro-1H-cyclopenta[a]phenanthren-17-yl)pentanoic acid""",Cholane steroids,Terpenoids,"Dihydroxy bile acids, alcohols and derivatives"
1484950,Yes,"""(R)-4-((3R,5R,8S,9S,10R,13R,14S,17R)-3-hydroxy-10,13-dimethyl-6-oxohexadecahydro-1H-cyclopenta[a]phenanthren-17-yl)pentanoic acid""",Cholane steroids,Terpenoids,"Hydroxy bile acids, alcohols and derivatives"
1485659,Yes,"""(4R)-4-((3R,5R,6S,7R,9S,10R,13R,14S,17R)-3,6,7-trihydroxy-10,13-dimethylhexadecahydro-1H-cyclopenta[a]phenanthren-17-yl)pentanoic acid""",Cholane steroids,Terpenoids,"Monohydroxy bile acids, alcohols and derivatives"
1485847,Yes,"""(4R)-4-((3R,5R,6S,7R,9S,10R,13R,14S,17R)-3,6,7-trihydroxy-10,13-dimethylhexadecahydro-1H-cyclopenta[a]phenanthren-17-yl)pentanoic acid""",Cholane steroids,Terpenoids,"Dihydroxy bile acids, alcohols and derivatives"
1487755,Yes,"""(R)-4-((3R,5R,8S,9S,10R,13R,14S,17R)-3-hydroxy-10,13-dimethyl-6-oxohexadecahydro-1H-cyclopenta[a]phenanthren-17-yl)pentanoic acid""",Cholane steroids,Terpenoids,"Hydroxy bile acids, alcohols and derivatives"
1488052,Yes,NA,Cholane steroids,Terpenoids,"Dihydroxy bile acids, alcohols and derivatives"
1488282,Yes,NA,Cholane steroids,Terpenoids,"Monohydroxy bile acids, alcohols and derivatives"
1491588,Yes,"""(R)-4-((3R,5S,7R,8R,9S,10S,12S,13R,14S,17R)-3,7,12-trihydroxy-10,13-dimethylhexadecahydro-1H-cyclopenta[a]phenanthren-17-yl)pentanoic acid""",Cholane steroids,Terpenoids,"Monohydroxy bile acids, alcohols and derivatives"
1499055,Yes,NA,Tripeptides,Amino acids and Peptides,N-acyl-alpha amino acids and derivatives
150104,Yes,NA,Acridone alkaloids,Alkaloids,Benzenoids
150156,Yes,NA,Aminoacids,Amino acids and Peptides,Alpha amino acids and derivatives
1508276,Yes,NA,Tripeptides,Amino acids and Peptides,Oligopeptides
1566393,Yes,NA,Cholane steroids,Terpenoids,"Hydroxy bile acids, alcohols and derivatives"
1570107,Yes,"""methyl (R)-4-((3R,5S,7R,8R,9S,10S,13R,14S,15S,17R)-3,7,15-trihydroxy-10,13-dimethylhexadecahydro-1H-cyclopenta[a]phenanthren-17-yl)pentanoate""",Cholane steroids,Terpenoids,"Dihydroxy bile acids, alcohols and derivatives"
1580825,Yes,"""3alpha,7alpha-dihydroxy-12-oxo-5beta-cholanic acid""",Cholane steroids,Terpenoids,"Trihydroxy bile acids, alcohols and derivatives"
1581383,Yes,"""(R)-4-((3R,5R,6R,7S,8R,9S,10R,12S,13R,14S,17R)-3,6,7,12-tetrahydroxy-10,13-dimethylhexadecahydro-1H-cyclopenta[a]phenanthren-17-yl)pentanoic acid""",Cholane steroids,Terpenoids,"Trihydroxy bile acids, alcohols and derivatives"
1581392,Yes,"""(4R)-4-((3R,5R,6S,7R,9S,10R,12S,13R,14S,17R)-3,6,7,12-tetrahydroxy-10,13-dimethylhexadecahydro-1H-cyclopenta[a]phenanthren-17-yl)pentanoic acid""",Cholane steroids,Terpenoids,"Trihydroxy bile acids, alcohols and derivatives"
1583954,Yes,NA,Cholane steroids,Terpenoids,Glycinated bile acids and derivatives
1585366,Yes,NA,Cholane steroids,Terpenoids,Glycinated bile acids and derivatives
1591730,Yes,NA,N-acyl amines,Fatty acids,N-acyl-alpha amino acids and derivatives
1591824,Yes,NA,N-acyl amines,Fatty acids,N-acyl-alpha amino acids
1592125,Yes,NA,Cholane steroids,Terpenoids,Glycinated bile acids and derivatives
1592137,Yes,NA,Cholane steroids,Terpenoids,Glycinated bile acids and derivatives
15972,Yes,NA,NA,NA,NA
15988,Yes,NA,pteridine alkaloids,Alkaloids,Triazoles
16006,Yes,NA,NA,NA,NA
1631333,Yes,Arg-C16:0,N-acyl amines,Fatty acids,N-acyl-alpha amino acids
1686563,Yes,NA,Lupane triterpenoids,Terpenoids,Triterpenoids
1686583,Yes,NA,Lupane triterpenoids,Terpenoids,Triterpenoids
1686594,Yes,NA,Lupane triterpenoids,Terpenoids,Triterpenoids
1687363,Yes,NA,Sphingoid bases,Fatty acids,Alpha amino acids
1687396,Yes,NA,Monoacylglycerols,Fatty acids,Amino acids and derivatives
1687460,Yes,NA,Glycerophosphoethanolamines,Fatty acids,Glycerophosphoethanolamines
1687592,Yes,NA,Cholane steroids,Terpenoids,Glycinated bile acids and derivatives
1687593,Yes,NA,Cholane steroids,Terpenoids,Glycinated bile acids and derivatives
1697499,Yes,Spectral Match to Cholic acid from NIST14,Cholane steroids,Terpenoids,"Trihydroxy bile acids, alcohols and derivatives"
1697520,Yes,Spectral Match to Cholic acid from NIST14,Cholane steroids,Terpenoids,Glycinated bile acids and derivatives
1697533,Yes,Cholic Acid,Cholane steroids,Terpenoids,Glycinated bile acids and derivatives
1697538,Yes,Spectral Match to Cholic acid from NIST14,Cholane steroids,Terpenoids,Glycinated bile acids and derivatives
1697542,Yes,Cholic Acid,Cholane steroids,Terpenoids,Glycinated bile acids and derivatives
1697551,Yes,Spectral Match to Cholic acid from NIST14,Cholane steroids,Terpenoids,Glycinated bile acids and derivatives
1697574,Yes,Spectral Match to Cholic acid from NIST14,Cholane steroids,Terpenoids,Glycinated bile acids and derivatives
1697596,Yes,NA,Pyridine alkaloids,Alkaloids,Steroids and steroid derivatives
1697621,Yes,Cholic Acid,Cholane steroids,Terpenoids,Glycinated bile acids and derivatives
1697624,Yes,Spectral Match to Cholic acid from NIST14,Cholane steroids,Terpenoids,Glycinated bile acids and derivatives
1697625,Yes,NA,Cholane steroids,Terpenoids,Glycinated bile acids and derivatives
1697690,Yes,NA,Cholane steroids,Terpenoids,"Hydroxy bile acids, alcohols and derivatives"
1700380,Yes,NA,Tripeptides,Amino acids and Peptides,N-acyl-alpha amino acids and derivatives
1719930,Yes,NA,N-acyl amines,Fatty acids,Alpha amino acids
1722306,Yes,Phe-C18:2,N-acyl amines,Fatty acids,Phenylalanine and derivatives
1732422,Yes,NA,Phenazine alkaloids,Alkaloids,Alkylarylthioethers
1739651,Yes,"""(4R)-4-((3R,5S,7R,8R,9S,10S,13S,14S,16R)-3,7,16-trihydroxy-10,13-dimethylhexadecahydro-1H-cyclopenta[a]phenanthren-17-yl)pentanoic acid""",Cholane steroids,Terpenoids,"Hydroxy bile acids, alcohols and derivatives"
1741012,Yes,NA,Steroidal alkaloids,Alkaloids,Dialkylarylamines
1750670,Yes,NA,N-acyl amines,Fatty acids,Alpha amino acids and derivatives
1751917,Yes,NA,Cholane steroids,Terpenoids,"Hydroxy bile acids, alcohols and derivatives"
1756075,Yes,NA,Spirostane steroids,Terpenoids,Triterpenoids
1756390,Yes,NA,Spirostane steroids,Terpenoids,Triterpenoids
176539,Yes,NA,Fatty alcohols,Fatty acids,Sulfoxides
1769037,Yes,NA,Pregnane steroids,Amino acids and Peptides,Steroids and steroid derivatives
1774637,Yes,NA,Cyclic peptides,Amino acids and Peptides,Peptides
1774904,Yes,NA,Lupane triterpenoids,Terpenoids,Triterpenoids
1774915,Yes,NA,"Lanostane, Tirucallane and Euphane triterpenoids",Terpenoids,Triterpenoids
1776216,Yes,NA,Glycerophosphoethanolamines,Fatty acids,Amino acids and derivatives
1776225,Yes,NA,Glycerophosphoethanolamines,Fatty acids,Amino acids and derivatives
1776231,Yes,NA,Glycerophosphoethanolamines,Fatty acids,Amino acids and derivatives
1776246,Yes,NA,Cyclic peptides,Amino acids and Peptides,Alpha amino acid amides
1776248,Yes,NA,Glycerophosphoethanolamines,Fatty acids,Amino acids and derivatives
1776269,Yes,NA,Glycerophosphoethanolamines,Fatty acids,Amino acids and derivatives
1776340,Yes,NA,Glycerophosphoethanolamines,Fatty acids,Amino acids and derivatives
1776683,Yes,NA,Glycerophosphoethanolamines,Fatty acids,Glycerophosphoethanolamines
1781570,Yes,NA,Dipeptides,Amino acids and Peptides,Oligopeptides
1783464,Yes,Soyaspongenol C,Lupane triterpenoids,Terpenoids,Triterpenoids
1783467,Yes,Soyaspongenol C,Oleanane triterpenoids,Terpenoids,Triterpenoids
1783474,Yes,Soyaspongenol C,Cholestane steroids,Terpenoids,Triterpenoids
1783495,Yes,Soyaspongenol C,Ursane and Taraxastane triterpenoids,Terpenoids,Triterpenoids
1809211,Yes,Tyr-C18:1,N-acyl amines,Fatty acids,Tyrosine and derivatives
1809261,Yes,Tyr-C18:1,N-acyl amines,Fatty acids,Tyrosine and derivatives
1824147,Yes,NA,Tripeptides,Amino acids and Peptides,Oligopeptides
1837026,Yes,NA,Glycerophosphocholines,Fatty acids,Glycerophosphocholines
1837030,Yes,NA,Glycerophosphocholines,Fatty acids,Glycerophosphocholines
1839527,Yes,NA,Polyamines,Alkaloids,N-aliphatic s-triazines
1845803,Yes,NA,Oleanane triterpenoids,Terpenoids,Triterpenoids
1846253,Yes,NA,Tripeptides,Amino acids and Peptides,Peptides
1846262,Yes,NA,Polyamines,Alkaloids,Alpha amino acid amides
1847853,Yes,NA,"Lanostane, Tirucallane and Euphane triterpenoids",Terpenoids,Triterpenoids
1864434,Yes,NA,N-acyl amines,Fatty acids,N-acyl amines
1868662,Yes,NA,Aminosugars,Carbohydrates,Aminoglycosides
1879609,Yes,NA,Cholane steroids,Terpenoids,Glycinated bile acids and derivatives
1879640,Yes,GLYCOCHOLATE - 30.0 eV,Cholane steroids,Terpenoids,Glycinated bile acids and derivatives
1879656,Yes,"""((R)-4-((3R,5S,7S,8R,9S,10S,12S,13R,14S,17R)-3,7,12-trihydroxy-10,13-dimethylhexadecahydro-1H-cyclopenta[a]phenanthren-17-yl)pentanoyl)glycine""",Cholane steroids,Terpenoids,Glycinated bile acids and derivatives
1883568,Yes,NA,Piperidine alkaloids,Alkaloids,Dialkylarylamines
1886505,Yes,match to acetylated cholic acid,Cholane steroids,Terpenoids,"Dihydroxy bile acids, alcohols and derivatives"
1888263,Yes,NA,Monoacylglycerols,Fatty acids,Diacylglycerols
1888268,Yes,NA,Monoacylglycerols,Fatty acids,Diradylglycerols
1888276,Yes,NA,Polyamines,Alkaloids,Alpha amino acid amides
1888280,Yes,NA,Imidazole alkaloids,Alkaloids,N-aliphatic s-triazines
1888289,Yes,NA,Monoacylglycerols,Fatty acids,"1,2-diacylglycerols"
1888304,Yes,NA,Monoacylglycerols,Fatty acids,Fatty acid esters
19137,Yes,NA,NA,NA,NA
19138,Yes,NA,NA,NA,NA
19266,Yes,NA,NA,NA,NA
1934005,Yes,NA,Glycerophosphoethanolamines,Fatty acids,Amino acids and derivatives
193671,Yes,NA,Aminoacids,Alkaloids,Thiadiazoles
1936785,Yes,NA,Tripeptides,Amino acids and Peptides,Oligopeptides
193805,Yes,NA,Aminoacids,Amino acids and Peptides,Aminosulfonyl compounds
1938848,Yes,NA,Oxo fatty acids,Fatty acids,N-acyl-alpha amino acids
194041,Yes,NA,NA,NA,NA
1947427,Yes,NA,Microcolins and mirabimids,Amino acids and Peptides,Cyclic depsipeptides
194954,Yes,NA,NA,NA,NA
1953267,Yes,NA,Linear peptides,Amino acids and Peptides,N-acyl-alpha amino acids and derivatives
1953306,Yes,NA,Piperidine alkaloids,Amino acids and Peptides,Alpha amino acids and derivatives
1953311,Yes,NA,Glycerophosphocholines,Fatty acids,Glycerophosphocholines
1959232,Yes,NA,Glycerophosphoserines,Fatty acids,1-acyl-glycerol-3-phosphoserines
1960566,Yes,PG(16:0_0:0) - 2-hydroxy-3-(2-hydroxyacetoxy)propyl palmitate,Diacylglycerols,Shikimates and Phenylpropanoids,"1,2-diacylglycerols"
1963103,Yes,NA,Monoacylglycerols,Fatty acids,Dicarboxylic acids and derivatives
1964672,Yes,NA,Tripeptides,Amino acids and Peptides,Oligopeptides
19686,Yes,NA,NA,NA,NA
1993544,Yes,NA,Polyamines,Amino acids and Peptides,Alpha amino acid amides
1995913,Yes,Ser-CA,Cholane steroids,Terpenoids,Glycinated bile acids and derivatives
19987,Yes,NA,NA,NA,NA
2004827,Yes,NA,Polyamines,Alkaloids,Dialkylarylamines
2006280,Yes,NA,Anthraquinones and anthrones,Polyketides,Triphenylenes
2018117,Yes,"""2-((4R)-4-((3R,5S,7R,9S,10S,13R,14S,17R)-3,7-dihydroxy-10,13-dimethylhexadecahydro-1H-cyclopenta[a]phenanthren-17-yl)pentanamido)ethane-1-sulfonic acid""",Pregnane steroids,Terpenoids,Azasteroids and derivatives
2018186,Yes,"""2-((4R)-4-((3R,5S,7R,9S,10S,13R,14S,17R)-3,7-dihydroxy-10,13-dimethylhexadecahydro-1H-cyclopenta[a]phenanthren-17-yl)pentanamido)ethane-1-sulfonic acid""",Pregnane steroids,Terpenoids,"Bile acids, alcohols and derivatives"
2018187,Yes,Spectral Match to Tauroursodeoxycholic acid from NIST14,Cholane steroids,Terpenoids,"Bile acids, alcohols and derivatives"
2026422,Yes,NA,Tripeptides,Amino acids and Peptides,Oligopeptides
20426,Yes,NA,NA,NA,NA
2042825,Yes,Spectral Match to 1-Eicosatrienoyl-sn-glycero-3-phosphoethanolamine from NIST14,Glycerophosphoethanolamines,Fatty acids,Amino acids and derivatives
2045880,Yes,NA,Glycerophosphocholines,Fatty acids,Glycerophosphocholines
20541,Yes,NA,Aminoacids,Alkaloids,Sulfuric acid diamides
2068125,Yes,NA,Cyclic peptides,Amino acids and Peptides,Peptides
2069326,Yes,NA,N-acyl amines,Amino acids and Peptides,Peptides
20698,Yes,NA,NA,NA,NA
2071486,Yes,NA,Monoacylglycerols,Fatty acids,Fatty acid esters
2071522,Yes,NA,Monoacylglycerols,Fatty acids,Diradylglycerols
2071553,Yes,NA,N-acyl amines,Fatty acids,N-acyl-alpha amino acids
2072658,Yes,NA,Oleanane triterpenoids,Terpenoids,Triterpenoids
2075144,Yes,NA,Monoacylglycerols,Fatty acids,Monoradylglycerols
2075174,Yes,NA,Triacylglycerols,Fatty acids,"1,2-diacylglycerols"
2075180,Yes,NA,Diacylglycerols,Shikimates and Phenylpropanoids,Benzoic acid esters
2077067,Yes,NA,Diacylglycerols,Fatty acids,"1,2-diacylglycerols"
2104586,Yes,NA,Tripeptides,Amino acids and Peptides,Oligopeptides
2122137,Yes,NA,Tripeptides,Amino acids and Peptides,Oligopeptides
2122157,Yes,NA,Tripeptides,Amino acids and Peptides,Oligopeptides
2124626,Yes,NA,Glycerophosphoserines,Fatty acids,1-acyl-glycerol-3-phosphoserines
2124868,Yes,NA,Glycerophosphoserines,Fatty acids,1-acyl-glycerol-3-phosphoserines
2127390,Yes,Isoleucocholic acid,Cholane steroids,Terpenoids,"Trihydroxy bile acids, alcohols and derivatives"
2127396,Yes,Leucocholic acid,Cholane steroids,Terpenoids,Glycinated bile acids and derivatives
2170012,Yes,NA,Cholane steroids,Amino acids and Peptides,Glycinated bile acids and derivatives
2170746,Yes,TAUROCHOLIC ACID,Cholane steroids,Terpenoids,Steroids and steroid derivatives
2170843,Yes,TAUROCHOLIC ACID,Cholestane steroids,Terpenoids,"Bile acids, alcohols and derivatives"
2171249,Yes,NA,Cholane steroids,Terpenoids,"Bile acids, alcohols and derivatives"
2171348,Yes,NA,Cholane steroids,Terpenoids,"Monohydroxy bile acids, alcohols and derivatives"
2171617,Yes,TAUROCHOLIC ACID,Cholane steroids,Terpenoids,7-oxosteroids
2179546,Yes,NA,Ceramides,Fatty acids,Ceramides
2180430,Yes,"""((4R)-4-((3R,5R,7R,9S,10S,12S,13R,14S,17R)-3,7,12-trihydroxy-10,13-dimethylhexadecahydro-1H-cyclopenta[a]phenanthren-17-yl)pentanoyl)lysine""",Cholane steroids,Terpenoids,Glycinated bile acids and derivatives
2207133,Yes,NA,Carboline alkaloids,Alkaloids,Naphthalenes
2207518,Yes,NA,Antimycins,Polyketides,N-acyl-alpha amino acids and derivatives
2211964,Yes,NA,Polyprenylated cyclic polyketides (Hop meroterpenoids),Terpenoids,Hydroxysteroids
2211966,Yes,NA,NA,NA,NA
2236484,Yes,NA,Polyamines,Alkaloids,Thienoimidazolidines
2236488,Yes,NA,Polyamines,Alkaloids,Pyrimidines and pyrimidine derivatives
2236721,Yes,NA,Cephalosporins,Amino acids and Peptides,Benzenesulfonic acids and derivatives
