CLUSTERID1	CLUSTERID2	DeltaMZ	MEH	Cosine	OtherScore	ComponentIndex	EdgeAnnotation
2478737	2479202	-0.001	2478737	0.8975	2478737.0	1	 
2478840	2478892	-0.002	2478840	0.8527	2478840.0	1	 
2478762	2478939	-0.001	2478762	0.8844	2478762.0	1	 
2478840	2478881	-0.002	2478840	0.8155	2478840.0	1	 
2478737	2478791	0.001	2478737	0.8852	2478737.0	1	 
2478762	2479202	-0.002	2478762	0.8767	2478762.0	1	 
2478826	2478901	0.002	2478826	0.7937	2478826.0	1	 
2478739	2478840	0.002	2478739	0.8635	2478739.0	1	 
2478776	2478939	-0.001	2478776	0.8736	2478776.0	1	 
2478762	2478947	-0.001	2478762	0.854	2478762.0	1	 
2478783	2478881	-0.001	2478783	0.838	2478783.0	1	 
2478802	2478840	0.001	2478802	0.8404	2478802.0	1	 
2478776	2478791	0.000	2478776	0.8854	2478776.0	1	 
2478752	2478783	-0.001	2478752	0.7869	2478752.0	1	 
2478881	2478892	0.000	2478881	0.8543	2478881.0	1	 
2478748	2478776	0.000	2478748	0.8698	2478748.0	1	 
2478737	2478878	0.001	2478737	0.8876	2478737.0	1	 
2478747	2478776	0.001	2478747	0.8874	2478747.0	1	 
2478748	2478791	0.000	2478748	0.8344	2478748.0	1	 
2478802	2478892	-0.001	2478802	0.8479	2478802.0	1	 
2478752	2478807	-0.001	2478752	0.815	2478752.0	1	 
2478758	2478802	0.001	2478758	0.8408	2478758.0	1	 
2478802	2478807	0.000	2478802	0.8328	2478802.0	1	 
2478939	2478947	0.000	2478939	0.8245	2478939.0	1	 
2478807	2478892	-0.001	2478807	0.8533	2478807.0	1	 
2478758	2478776	0.001	2478758	0.8698	2478758.0	1	 
2478737	2478758	0.000	2478737	0.879	2478737.0	1	 
2478741	2478939	-0.001	2478741	0.8751	2478741.0	1	 
2478739	2478783	0.001	2478739	0.8265	2478739.0	1	 
2478769	2478901	-0.001	2478769	0.8017	2478769.0	1	 
2478807	2478840	0.001	2478807	0.8628	2478807.0	1	 
2478802	2478881	-0.001	2478802	0.8748	2478802.0	1	 
2478947	2479202	-0.001	2478947	0.8468	2478947.0	1	 
2478741	2478758	-0.001	2478741	0.8703	2478741.0	1	 
2478741	2478878	0.000	2478741	0.8716	2478741.0	1	 
2478737	2478776	0.001	2478737	0.9172	2478737.0	1	 
2478737	2478755	0.001	2478737	0.9657	2478737.0	1	 
2478791	2478947	-0.001	2478791	0.8352	2478791.0	1	 
2478739	2478892	0.000	2478739	0.9076	2478739.0	1	 
2478808	2478939	-0.001	2478808	0.8219	2478808.0	1	 
2478919	2479074	-0.001	2478919	0.8222	2478919.0	1	 
2478741	2478755	0.000	2478741	0.9377	2478741.0	1	 
2478776	2479202	-0.002	2478776	0.8736	2478776.0	1	 
2478737	2478762	0.001	2478737	0.911	2478737.0	1	 
2478752	2478892	-0.002	2478752	0.8243	2478752.0	1	 
2478808	2479202	-0.002	2478808	0.8372	2478808.0	1	 
2478783	2478840	0.001	2478783	0.7751	2478783.0	1	 
2478741	2478776	0.000	2478741	0.9297	2478741.0	1	 
2478755	2478762	0.000	2478755	0.9093	2478755.0	1	 
2478758	2478878	0.001	2478758	0.8315	2478758.0	1	 
2478755	2478947	-0.001	2478755	0.8932	2478755.0	1	 
2478741	2478747	-0.001	2478741	0.9091	2478741.0	1	 
2478758	2478762	0.001	2478758	0.8849	2478758.0	1	 
2478755	2478878	0.000	2478755	0.8917	2478755.0	1	 
2478817	2478907	0.000	2478817	0.7951	2478817.0	1	 
2478739	2478881	0.000	2478739	0.8541	2478739.0	1	 
2478747	2478755	0.001	2478747	0.9089	2478747.0	1	 
2478883	2478907	0.000	2478883	0.8184	2478883.0	1	 
2478737	2478741	0.001	2478737	0.9505	2478737.0	1	 
2478739	2478807	0.001	2478739	0.8545	2478739.0	1	 
2478883	2479202	-0.001	2478883	0.841	2478883.0	1	 
3140095	3172500	-128.060	3140095	0.7902	3140095.0	2	C21H33N7O15P3S_co-enzyme A (-H2O):C5H8N2O2
3153344	3172500	-113.085	3153344	0.7625	3153344.0	2	C10H15N2O3S_biotinyl (-H):C6H11NO
3053053	3061426	-14.014	3053053	0.7479	3053053.0	2	methanol (-H2O):CH2
2897534	3054373	-128.060	2897534	0.8108	2897534.0	2	C21H33N7O15P3S_co-enzyme A (-H2O):C5H8N2O2
1801708	3053053	-444.255	1801708	0.7001	1801708.0	2	 
3053053	3140095	-101.047	3053053	0.7549	3053053.0	2	C5H9NO_Valine:C4H7NO2
3053053	3172500	-229.107	3053053	0.7492	3053053.0	2	 
3054373	3153344	-113.083	3054373	0.7277	3054373.0	2	C10H15N2O3S_biotinyl (-H):C6H11NO
3054373	3172500	-226.168	3054373	0.7677	3054373.0	2	 
3053053	3053067	0.001	3053053	0.7389	3053053.0	2	 
2750808	3053053	-186.079	2750808	0.758	2750808.0	2	C10H12N5O7P_Guanosine 5- monophosphate (-H2O):C11H10N2O
2879488	2879491	-0.001	2879488	0.9082	2879488.0	3	 
2879488	3001129	-76.015	2879488	0.7132	2879488.0	3	C4H4O3:H2N3O2:C5H2N
3000007	3000759	-1.002	3000007	0.8061	3000007.0	3	isotope_13C:H
2879488	3000007	-74.018	2879488	0.7817	2879488.0	3	CH2N2O2:C6H2:H2N40:C2H4NO2
2879491	2884140	-1.000	2879491	0.8381	2879491.0	3	isotope_13C:H
2879491	3000007	-74.017	2879491	0.7803	2879491.0	3	CH2N2O2:C6H2:H2N40:C2H4NO2
3000007	3001129	-1.997	3000007	0.7712	3000007.0	3	isotope_34S:isotope_37Cl:isotope_81Br
2879488	2884140	-1.001	2879488	0.856	2879488.0	3	isotope_13C:H
1834715	1834717	0.001	1834715	0.7554	1834715.0	4	 
1834716	1834717	0.000	1834716	0.7826	1834716.0	4	 
1834715	1834716	0.001	1834715	0.7894	1834715.0	4	 
22259	62508	-13.990	22259	0.7976	22259.0	5	 
16175	20320	-2.005	16175	0.7619	16175.0	5	 
20320	22259	-2.016	20320	0.8593	20320.0	5	H2
22259	62536	-13.990	22259	0.7296	22259.0	5	 
62508	72365	-2.039	62508	0.7762	62508.0	5	 
1306390	1306522	0.000	1306390	0.7644	1306390.0	6	 
1439043	1439189	0.000	1439043	0.7157	1439043.0	6	 
1439031	1439043	0.000	1439031	0.7728	1439031.0	6	 
1433235	1439043	-2.016	1433235	0.7003	1433235.0	6	H2
1330623	1519605	-28.031	1330623	0.8235	1330623.0	6	C2H4
1439025	1439031	0.000	1439025	0.741	1439025.0	6	 
1433235	1438999	-2.016	1433235	0.7559	1433235.0	6	H2
1438999	1439031	0.000	1438999	0.7277	1438999.0	6	 
1306453	1330623	-2.016	1306453	0.7932	1306453.0	6	H2
1438952	1439204	-0.001	1438952	0.7553	1438952.0	6	 
1330623	1519673	-28.031	1330623	0.8288	1330623.0	6	C2H4
1330618	1519605	-28.030	1330618	0.7394	1330618.0	6	C2H4
1306453	1306605	0.000	1306453	0.7731	1306453.0	6	 
1306390	1330623	-2.016	1306390	0.7871	1306390.0	6	H2
1439031	1439204	0.000	1439031	0.7055	1439031.0	6	 
1438999	1439043	0.000	1438999	0.8051	1438999.0	6	 
1439025	1439204	0.000	1439025	0.7609	1439025.0	6	 
1514224	1519673	-2.015	1514224	0.7475	1514224.0	6	H2
1439043	1439204	0.000	1439043	0.7197	1439043.0	6	 
1306453	1306522	0.000	1306453	0.7754	1306453.0	6	 
1306523	1330618	-2.017	1306523	0.8405	1306523.0	6	H2
1438952	1439043	-0.001	1438952	0.7186	1438952.0	6	 
1306523	1330623	-2.016	1306523	0.7475	1306523.0	6	H2
1519605	1519673	0.000	1519605	0.7999	1519605.0	6	 
1330618	1519673	-28.030	1330618	0.7783	1330618.0	6	C2H4
1330618	1330623	0.001	1330618	0.8229	1330618.0	6	 
1439025	1439043	0.000	1439025	0.7771	1439025.0	6	 
1306390	1439043	-18.011	1306390	0.7107	1306390.0	6	H2O
1438999	1439025	0.000	1438999	0.7147	1438999.0	6	 
1438999	1439204	0.000	1438999	0.7128	1438999.0	6	 
1306390	1306453	0.000	1306390	0.9081	1306390.0	6	 
1306390	1306677	-0.001	1306390	0.7197	1306390.0	6	 
1438999	1439189	0.000	1438999	0.7446	1438999.0	6	 
1306390	1439031	-18.011	1306390	0.7029	1306390.0	6	H2O
1768951	1768972	0.001	1768951	0.7229	1768951.0	8	 
2912337	2915843	-2.015	2912337	0.7875	2912337.0	9	H2
3161273	3161350	-0.501	3161273	0.9483	3161273.0	9	z = 2
3133176	3154276	-30.958	3133176	0.8679	3133176.0	9	 
2909176	2912306	-2.502	2909176	0.9824	2909176.0	9	 
2948429	2961217	-10.991	2948429	0.7869	2948429.0	9	 
3161200	3161272	-0.503	3161200	0.8405	3161200.0	9	z = 2
3161060	3161269	-2.481	3161060	0.8943	3161060.0	9	 
3165038	3165605	-1.003	3165038	0.9108	3165038.0	9	isotope_13C:H
2926449	2926682	-0.501	2926449	0.9429	2926449.0	9	z = 2
2909340	3154276	-239.133	2909340	0.8667	2909340.0	9	 
3161060	3161272	-2.481	3161060	0.8478	3161060.0	9	 
2912729	3154276	-236.640	2912729	0.8681	2912729.0	9	 
2919484	2926680	-2.988	2919484	0.8996	2919484.0	9	 
3133176	3154683	-32.974	3133176	0.9419	3133176.0	9	 
2899695	3133176	-216.172	2899695	0.8687	2899695.0	9	 
3161060	3161273	-2.480	3161060	0.851	3161060.0	9	 
2904546	2912306	-5.984	2904546	0.8518	2904546.0	9	 
3165037	3165605	-1.004	3165037	0.885	3165037.0	9	isotope_13C:H
2915843	2991802	-47.999	2915843	0.9045	2915843.0	9	 
2926449	3165038	-268.636	2926449	0.9167	2926449.0	9	 
2899468	3157167	-268.648	2899468	0.8924	2899468.0	9	 
2948295	2957209	-3.509	2948295	0.8281	2948295.0	9	 
2899468	3160196	-270.649	2899468	0.8896	2899468.0	9	 
3154683	3162155	-33.022	3154683	0.8569	3154683.0	9	NH3O:H3NO
2899468	2912729	-10.991	2899468	0.8941	2899468.0	9	 
3161045	3161272	-2.988	3161045	0.9265	3161045.0	9	 
3133035	3133177	-1.012	3133035	0.8326	3133035.0	9	isotope_13C:H
3161043	3161272	-2.988	3161043	0.9443	3161043.0	9	 
2923296	2926682	-2.483	2923296	0.8487	2923296.0	9	 
3161045	3161098	-1.007	3161045	0.7962	3161045.0	9	isotope_13C:H
3162493	3165605	-3.507	3162493	0.842	3162493.0	9	 
3156497	3157167	-3.003	3156497	0.9255	3156497.0	9	 
3161199	3161350	-1.002	3161199	0.9312	3161199.0	9	isotope_13C:H
3161199	3161269	-0.502	3161199	0.9155	3161199.0	9	z = 2
2959675	2959736	-0.506	2959675	0.8106	2959675.0	9	z = 2
2909176	2909340	-0.500	2909176	0.941	2909176.0	9	z = 2
2919307	2923296	-1.012	2919307	0.913	2919307.0	9	H
2948429	2957209	-3.004	2948429	0.8776	2948429.0	9	 
2915843	2960178	-24.000	2915843	0.907	2915843.0	9	C2
3167605	3167608	0.001	3167605	0.8432	3167605.0	9	 
3161098	3161273	-1.980	3161098	0.8161	3161098.0	9	 
2919484	3165038	-271.123	2919484	0.8583	2919484.0	9	 
3155515	3155536	-0.502	3155515	0.9301	3155515.0	9	z = 2
3161045	3161200	-2.485	3161045	0.8171	3161045.0	9	 
2912729	3160196	-259.658	2912729	0.9232	2912729.0	9	 
2959425	2960178	-2.017	2959425	0.7969	2959425.0	9	H2
2948426	2959674	-7.485	2948426	0.8085	2948426.0	9	 
2957078	2961217	-8.488	2957078	0.8195	2957078.0	9	 
2948294	2959674	-7.987	2948294	0.8028	2948294.0	9	 
3161043	3161199	-2.486	3161043	0.9514	3161043.0	9	 
2912729	3133176	-205.682	2912729	0.8949	2912729.0	9	 
3162493	3162527	-0.502	3162493	0.9509	3162493.0	9	z = 2
3162493	3166914	-11.513	3162493	0.7959	3162493.0	9	 
2960178	2991802	-23.999	2960178	0.9211	2960178.0	9	C2
2904546	2909340	-3.982	2904546	0.8532	2904546.0	9	Na-H2O
3155536	3160197	-12.503	3155536	0.9053	3155536.0	9	 
2919484	2923296	-0.505	2919484	0.9361	2919484.0	9	z = 2
2919307	2926680	-3.495	2919307	0.8492	2919307.0	9	 
2948426	3165038	-260.151	2948426	0.8275	2948426.0	9	 
3161061	3161200	-1.982	3161061	0.8287	3161061.0	9	 
2899695	3154682	-249.147	2899695	0.9143	2899695.0	9	 
3160807	3161350	-3.996	3160807	0.8126	3160807.0	9	 
2919484	2926449	-2.487	2919484	0.9074	2919484.0	9	 
2957209	2961217	-7.987	2957209	0.7913	2957209.0	9	 
3165037	3165607	-1.002	3165037	0.8151	3165037.0	9	isotope_13C:H
2912729	3154683	-238.656	2912729	0.9335	2912729.0	9	 
3155515	3155534	-0.504	3155515	0.9697	3155515.0	9	z = 2
2909340	2959674	-26.460	2909340	0.837	2909340.0	9	 
3154683	3160196	-21.002	3154683	0.9523	3154683.0	9	 
2915843	2959425	-21.983	2915843	0.8024	2915843.0	9	adduct_rel_H_Na:Na-H
2923296	2926680	-2.483	2923296	0.8655	2923296.0	9	 
3161043	3161269	-2.988	3161043	0.8893	3161043.0	9	 
2926680	3165037	-268.134	2926680	0.9057	2926680.0	9	 
3155534	3155536	0.002	3155534	0.9521	3155534.0	9	 
2912899	3154682	-238.149	2912899	0.9453	2912899.0	9	 
3162154	3162157	0.000	3162154	0.94	3162154.0	9	 
2948294	3165071	-260.652	2948294	0.8124	2948294.0	9	 
3162527	3165037	-2.001	3162527	0.8251	3162527.0	9	isotope_34S:isotope_37Cl:isotope_81Br
3162154	3165605	-5.958	3162154	0.8907	3162154.0	9	 
3161061	3161098	-0.504	3161061	0.8025	3161061.0	9	z = 2
2909340	2912899	-3.001	2909340	0.9004	2909340.0	9	 
3161045	3161273	-2.987	3161045	0.9106	3161045.0	9	 
3156497	3161896	-15.992	3156497	0.8391	3156497.0	9	O
3165038	3165071	0.001	3165038	0.9226	3165038.0	9	 
3156497	3156914	-1.001	3156497	0.8509	3156497.0	9	isotope_13C:H
2909176	3156497	-257.647	2909176	0.9799	2909176.0	9	 
3167598	3167611	-0.002	3167598	0.8162	3167598.0	9	 
2926680	2926682	0.000	2926680	0.9384	2926680.0	9	 
2923296	3165071	-270.617	2923296	0.8171	2923296.0	9	 
3161199	3161273	-0.501	3161199	0.9576	3161199.0	9	z = 2
3162153	3165605	-5.959	3162153	0.8766	3162153.0	9	 
2909340	3157167	-260.150	2909340	0.9157	2909340.0	9	 
3167598	3168160	-1.007	3167598	0.8151	3167598.0	9	isotope_13C:H
2919484	2926682	-2.988	2919484	0.8818	2919484.0	9	 
2912306	3156497	-255.145	2912306	0.9673	2912306.0	9	 
3161043	3161060	-0.507	3161043	0.8425	3161043.0	9	z = 2
2899468	3133177	-216.673	2899468	0.8456	2899468.0	9	 
2919307	2926449	-2.994	2919307	0.8648	2919307.0	9	 
3162153	3162157	-0.001	3162153	0.9863	3162153.0	9	 
2961094	2961217	-0.504	2961094	0.8854	2961094.0	9	z = 2
2899695	2912729	-10.490	2899695	0.8708	2899695.0	9	 
2926680	2957209	-10.990	2926680	0.8215	2926680.0	9	 
2948294	3167598	-276.620	2948294	0.8091	2948294.0	9	 
3167598	3167648	0.000	3167598	0.837	3167598.0	9	 
3155534	3160197	-12.501	3155534	0.9487	3155534.0	9	 
2912899	3154276	-236.132	2912899	0.92	2912899.0	9	 
2904546	2991802	-56.064	2904546	0.8316	2904546.0	9	C4H8
2926682	3165038	-268.135	2926682	0.8594	2926682.0	9	 
2948295	2961094	-10.992	2948295	0.7872	2948295.0	9	 
2899468	2899695	-0.501	2899468	0.9841	2899468.0	9	z = 2
3161060	3162155	-8.014	3161060	0.8573	3161060.0	9	 
2948295	2961217	-11.496	2948295	0.7883	2948295.0	9	 
2948294	2948426	-0.502	2948294	0.97	2948294.0	9	z = 2
2926449	3165605	-269.639	2926449	0.8625	2926449.0	9	 
2904546	2960178	-32.065	2904546	0.8016	2904546.0	9	 
2926449	2948426	-8.485	2926449	0.8215	2926449.0	9	 
3161061	3161272	-2.485	3161061	0.9408	3161061.0	9	 
3161043	3161200	-2.485	3161043	0.8318	3161043.0	9	 
3162154	3162155	0.000	3162154	0.9389	3162154.0	9	 
3155535	3160197	-12.502	3155535	0.8801	3155535.0	9	 
3161272	3161350	-0.500	3161272	0.9554	3161272.0	9	z = 2
3167592	3167653	0.002	3167592	0.8244	3167592.0	9	 
3162153	3162154	-0.001	3162153	0.9478	3162153.0	9	 
3162155	3162157	0.000	3162155	0.977	3162155.0	9	 
3167598	3167608	0.001	3167598	0.8412	3167598.0	9	 
3161269	3161272	0.000	3161269	0.9057	3161269.0	9	 
3162527	3165605	-3.005	3162527	0.8759	3162527.0	9	 
2912899	3157167	-257.149	2912899	0.9166	2912899.0	9	 
3161199	3161200	0.001	3161199	0.8491	3161199.0	9	 
2926680	3165071	-268.134	2926680	0.8733	2926680.0	9	 
2948426	3165071	-260.150	2948426	0.8337	2948426.0	9	 
2957078	2957209	-0.501	2957078	0.9429	2957078.0	9	z = 2
3161269	3161273	0.001	3161269	0.908	3161269.0	9	 
3162454	3162493	-0.502	3162454	0.9491	3162454.0	9	z = 2
2926449	3165037	-268.635	2926449	0.9205	2926449.0	9	 
3161200	3161273	-0.502	3161200	0.8467	3161200.0	9	z = 2
3133177	3157167	-51.975	3133177	0.8901	3133177.0	9	 
2926680	3165605	-269.138	2926680	0.8606	2926680.0	9	 
3161060	3161275	-2.479	3161060	0.9067	3161060.0	9	 
2909176	3156914	-258.648	2909176	0.8345	2909176.0	9	 
3154276	3162154	-35.038	3154276	0.8781	3154276.0	9	 
2899468	3154276	-247.631	2899468	0.8665	2899468.0	9	 
3161061	3161350	-2.985	3161061	0.9233	3161061.0	9	 
3161043	3161273	-2.987	3161043	0.9414	3161043.0	9	 
2957078	3168190	-274.659	2957078	0.7867	2957078.0	9	 
2959674	3156497	-230.687	2959674	0.8057	2959674.0	9	 
3161045	3161199	-2.486	3161045	0.919	3161045.0	9	 
3160807	3161043	-0.508	3160807	0.8141	3160807.0	9	z = 2
3165037	3165038	-0.001	3165037	0.9663	3165037.0	9	 
2919484	3165071	-271.122	2919484	0.8273	2919484.0	9	 
3155515	3155535	-0.503	3155515	0.9066	3155515.0	9	z = 2
3154682	3154683	0.001	3154682	0.9216	3154682.0	9	 
2926682	3165071	-268.134	2926682	0.8397	2926682.0	9	 
3165037	3165071	0.000	3165037	0.9269	3165037.0	9	 
2948429	2961094	-10.487	2948429	0.793	2948429.0	9	 
3133177	3154682	-32.975	3133177	0.9082	3133177.0	9	 
2923296	3165037	-270.617	2923296	0.8374	2923296.0	9	 
3155535	3155536	0.001	3155535	0.8746	3155535.0	9	 
3161061	3161199	-1.983	3161061	0.9318	3161061.0	9	 
3161272	3161273	0.001	3161272	0.9631	3161272.0	9	 
3161269	3161350	-0.500	3161269	0.8856	3161269.0	9	z = 2
3154682	3157167	-19.000	3154682	0.9754	3154682.0	9	 
2948429	2957078	-2.503	2948429	0.8666	2948429.0	9	 
2912729	3154682	-238.657	2912729	0.9048	2912729.0	9	 
3167605	3168160	-1.007	3167605	0.8113	3167605.0	9	isotope_13C:H
3161200	3161350	-1.003	3161200	0.8254	3161200.0	9	isotope_13C:H
3161043	3161045	0.000	3161043	0.9276	3161043.0	9	 
3167614	3167653	0.000	3167614	0.8435	3167614.0	9	 
2926449	3165071	-268.635	2926449	0.8768	2926449.0	9	 
3161045	3161350	-3.488	3161045	0.9162	3161045.0	9	 
3161061	3161269	-2.485	3161061	0.8951	3161061.0	9	 
2912899	3162154	-271.170	2912899	0.8824	2912899.0	9	 
3161043	3161350	-3.488	3161043	0.9305	3161043.0	9	 
2899695	3133177	-216.172	2899695	0.834	2899695.0	9	 
3161200	3161269	-0.503	3161200	0.895	3161200.0	9	z = 2
2948294	3167608	-276.619	2948294	0.796	2948294.0	9	 
3162153	3162454	-1.950	3162153	0.8323	3162153.0	9	 
3161269	3161275	0.002	3161269	0.8574	3161269.0	9	 
2904546	2909176	-3.482	2904546	0.8437	2904546.0	9	 
2899695	2912899	-10.998	2899695	0.8605	2899695.0	9	 
3167611	3167648	0.002	3167611	0.8364	3167611.0	9	 
2948426	3167608	-276.117	2948426	0.7993	2948426.0	9	 
2912729	2912899	-0.508	2912729	0.9078	2912729.0	9	z = 2
2912899	3133177	-205.174	2912899	0.8813	2912899.0	9	 
3161098	3161199	-1.479	3161098	0.8093	3161098.0	9	 
3161061	3161273	-2.484	3161061	0.9398	3161061.0	9	 
3155515	3160197	-13.005	3155515	0.925	3155515.0	9	CH
3161043	3161061	-0.503	3161043	0.9304	3161043.0	9	z = 2
2912899	3154683	-238.148	2912899	0.8757	2912899.0	9	 
3162155	3165605	-5.958	3162155	0.8863	3162155.0	9	 
2899695	3160196	-270.148	2899695	0.8888	2899695.0	9	 
2899695	3154683	-249.146	2899695	0.8933	2899695.0	9	 
3161060	3162154	-8.014	3161060	0.8414	3161060.0	9	 
2926682	3165037	-268.134	2926682	0.8678	2926682.0	9	 
3162153	3162155	-0.001	3162153	0.9811	3162153.0	9	 
3161045	3161269	-2.988	3161045	0.8756	3161045.0	9	 
2909176	3157167	-260.650	2909176	0.9068	2909176.0	9	 
3162454	3162527	-1.004	3162454	0.9191	3162454.0	9	isotope_13C:H
2912306	3157167	-258.148	2912306	0.8848	2912306.0	9	 
3161060	3161199	-1.979	3161060	0.8549	3161060.0	9	 
2899468	3133176	-216.673	2899468	0.8786	2899468.0	9	 
2923296	3165038	-270.618	2923296	0.845	2923296.0	9	 
2912306	3156914	-256.146	2912306	0.8166	2912306.0	9	 
3161060	3162153	-8.013	3161060	0.8429	3161060.0	9	 
3162157	3165605	-5.958	3162157	0.8628	3162157.0	9	 
2909340	2912306	-2.002	2909340	0.9503	2909340.0	9	isotope_34S:isotope_37Cl:isotope_81Br
3161199	3161272	-0.502	3161199	0.9645	3161199.0	9	z = 2
2904546	3156497	-261.129	2904546	0.8418	2904546.0	9	 
3161200	3161275	-0.501	3161200	0.8822	3161200.0	9	z = 2
3133176	3133177	0.000	3133176	0.8373	3133176.0	9	 
2926680	3165038	-268.135	2926680	0.9126	2926680.0	9	 
3154276	3154682	-2.017	3154276	0.9323	3154276.0	9	H2
2919307	2919484	-0.507	2919307	0.9665	2919307.0	9	z = 2
3161060	3161200	-1.978	3161060	0.9212	3161060.0	9	 
2926449	2926680	-0.501	2926449	0.9863	2926449.0	9	z = 2
2919307	2926682	-3.495	2919307	0.8428	2919307.0	9	 
3161045	3161061	-0.503	3161045	0.9115	3161045.0	9	z = 2
2919484	3165037	-271.122	2919484	0.8573	2919484.0	9	 
2909340	3156497	-257.147	2909340	0.9178	2909340.0	9	 
2923296	2926449	-1.982	2923296	0.8716	2923296.0	9	 
3155534	3160196	-12.501	3155534	0.8356	3155534.0	9	 
2959674	2959675	0.001	2959674	0.805	2959674.0	9	 
3157167	3160196	-2.001	3157167	0.8812	3157167.0	9	isotope_34S:isotope_37Cl:isotope_81Br
2912729	3162155	-271.678	2912729	0.8457	2912729.0	9	 
2948426	2957209	-3.006	2948426	0.7979	2948426.0	9	 
3133176	3154682	-32.975	3133176	0.8975	3133176.0	9	 
3154276	3154683	-2.016	3154276	0.8934	3154276.0	9	H2
3154276	3157167	-21.017	3154276	0.9031	3154276.0	9	 
2915843	2915845	0.000	2915843	0.8303	2915843.0	9	 
2899468	3154682	-249.648	2899468	0.9345	2899468.0	9	 
2899468	3154683	-249.647	2899468	0.9027	2899468.0	9	 
3167592	3167614	0.002	3167592	0.8965	3167592.0	9	 
3133177	3154276	-30.958	3133177	0.8688	3133177.0	9	 
3133176	3160196	-53.976	3133176	0.9168	3133176.0	9	 
3167598	3167605	0.000	3167598	0.8911	3167598.0	9	 
2948295	2957078	-3.008	2948295	0.84	2948295.0	9	 
2957078	2961094	-7.984	2957078	0.8034	2957078.0	9	 
3161098	3161272	-1.981	3161098	0.8138	3161098.0	9	 
2959674	2959736	-0.505	2959674	0.8703	2959674.0	9	z = 2
2948295	2948429	-0.505	2948295	0.8406	2948295.0	9	z = 2
3162527	3166638	-7.483	3162527	0.7907	3162527.0	9	 
3162527	3165038	-2.002	3162527	0.8606	3162527.0	9	isotope_34S:isotope_37Cl:isotope_81Br
2899468	2912899	-11.499	2899468	0.8831	2899468.0	9	 
2948429	3167592	-276.117	2948429	0.8083	2948429.0	9	 
3155534	3155535	0.001	3155534	0.9257	3155534.0	9	 
3154682	3160196	-21.001	3154682	0.9041	3154682.0	9	 
2983665	2985720	-2.018	2983665	0.8421	2983665.0	11	H2
2983665	2985716	-2.015	2983665	0.8689	2983665.0	11	H2
2948254	2983665	-24.000	2948254	0.7789	2948254.0	11	C2
2983665	3014459	-28.029	2983665	0.7992	2983665.0	11	C2H4
3036811	3036813	0.004	3036811	0.7745	3036811.0	11	 
2983665	3036811	-48.000	2983665	0.7984	2983665.0	11	 
2985716	3014459	-26.014	2985716	0.7661	2985716.0	11	C2H2
2948254	3006022	-45.982	2948254	0.7304	2948254.0	11	 
2985716	2985720	-0.003	2985716	0.7722	2985716.0	11	 
2564079	2566247	-0.499	2564079	0.7692	2564079.0	12	z = 2
2559809	2559869	0.000	2559809	0.8506	2559809.0	12	 
2559869	2564139	-2.479	2559869	0.8717	2559869.0	12	 
2471125	2564185	-29.021	2471125	0.7674	2471125.0	12	CH3N
2461695	2564071	-31.497	2461695	0.7636	2461695.0	12	 
2564079	2564097	-0.001	2564079	0.83	2564079.0	12	 
2564097	2566253	-0.500	2564097	0.8529	2564097.0	12	z = 2
