id	molecularFormula	adduct	NPC#pathway	NPC#pathway Probability	NPC#superclass	NPC#superclass Probability	NPC#class	NPC#class Probability	ClassyFire#most specific class	ClassyFire#most specific class Probability	ClassyFire#level 5	ClassyFire#level 5 Probability	ClassyFire#subclass	ClassyFire#subclass Probability	ClassyFire#class	ClassyFire#class Probability	ClassyFire#superclass	ClassyFire#superclass probability	ClassyFire#all classifications
1019_Fetures_interest_MSV000079949_SIRIUS_fix_2101929	C26H45NO7S	[M + H]+	Terpenoids	0.999496102	Steroids	0.999344766	Cholane steroids	0.925222635	Taurinated bile acids and derivatives	0.516951025	Taurinated bile acids and derivatives	0.516951025	"Bile acids, alcohols and derivatives"	0.994030654	Steroids and steroid derivatives	0.99855572	Lipids and lipid-like molecules	0.999950647	"Organic compounds; Organosulfur compounds; Lipids and lipid-like molecules; Alcohols and polyols; Steroids and steroid derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organosulfonic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Trihydroxy bile acids, alcohols and derivatives; Sulfonyls; Taurinated bile acids and derivatives; Organosulfonic acids; Cyclic alcohols and derivatives; Hydroxysteroids; Bile acids, alcohols and derivatives; Secondary alcohols; Secondary carboxylic acid amides; Carbonyl compounds; Hydroxy bile acids, alcohols and derivatives; Polyols; 3-hydroxysteroids; Alkanesulfonic acids and derivatives; 7-hydroxysteroids; 12-hydroxysteroids; Alkanesulfonic acids; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic sulfonic acids and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"
1020_Fetures_interest_MSV000079949_SIRIUS_fix_2102635	C26H45NO7S	[M + H]+	Terpenoids	0.999497533	Steroids	0.999682546	Cholane steroids	0.923973143	Taurinated bile acids and derivatives	0.569175243	Taurinated bile acids and derivatives	0.569175243	"Bile acids, alcohols and derivatives"	0.996036708	Steroids and steroid derivatives	0.998706818	Lipids and lipid-like molecules	0.99992156	"Organic compounds; Organosulfur compounds; Lipids and lipid-like molecules; Alcohols and polyols; Steroids and steroid derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organosulfonic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Trihydroxy bile acids, alcohols and derivatives; Sulfonyls; Taurinated bile acids and derivatives; Organosulfonic acids; Cyclic alcohols and derivatives; Hydroxysteroids; Bile acids, alcohols and derivatives; Secondary alcohols; Secondary carboxylic acid amides; Carbonyl compounds; Hydroxy bile acids, alcohols and derivatives; Polyols; 3-hydroxysteroids; Alkanesulfonic acids and derivatives; 7-hydroxysteroids; 12-hydroxysteroids; Alkanesulfonic acids; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic sulfonic acids and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"
1021_Fetures_interest_MSV000079949_SIRIUS_fix_2104566	C26H41N7O4	[M + H]+	Alkaloids	0.876069605	Ornithine alkaloids	0.170594662	Pyridine alkaloids	0.139499843	Amino acids and derivatives	0.667346179	Amino acids and derivatives	0.667346179	"Amino acids, peptides, and analogues"	0.656567156	Carboxylic acids and derivatives	0.926714659	Organic acids and derivatives	0.949483752	"Organic compounds; Organoheterocyclic compounds; Amino acids, peptides, and analogues; Tetrazoles; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Azoles; Carboxylic acid amides; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Tertiary carboxylic acid amides; Carbonyl compounds; Benzene and substituted derivatives; Benzenoids; Amines; Tertiary amines; Tertiary alkylarylamines; Dialkylarylamines; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"
1022_Fetures_interest_MSV000079949_SIRIUS_fix_2104586	C20H41N11O5	[M + H]+	Amino acids and Peptides	0.99794811	Small peptides	0.989348531	Tripeptides	0.972341597	Oligopeptides	0.995490134	Peptides	0.999986649	"Amino acids, peptides, and analogues"	0.999992251	Carboxylic acids and derivatives	0.999983668	Organic acids and derivatives	0.999996066	"Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Imidazoles; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Amino acids and derivatives; Peptides; Guanidines; Azoles; Monoalkylamines; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Monocarboxylic acids and derivatives; N-acyl-alpha amino acids and derivatives; Carboxylic acids; Imidazolyl carboxylic acids and derivatives; Secondary carboxylic acid amides; Carbonyl compounds; Alpha amino acid amides; Substituted imidazoles; N-acyl-alpha amino acids; Amines; Primary amines; Carboximidamides; Organic 1,3-dipolar compounds; Propargyl-type 1,3-dipolar organic compounds; Fatty Acyls; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Amino acids; Histidine and derivatives; Leucine and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Oligopeptides; Chemical entities"
1023_Fetures_interest_MSV000079949_SIRIUS_fix_2105906	C25H48N4O7	[M + H]+	Amino acids and Peptides	0.948184669	Fatty amides	0.591668308	N-acyl amines	0.337215781	N-acyl-alpha amino acids and derivatives	0.553161979	Amino acids and derivatives	0.95704788	"Amino acids, peptides, and analogues"	0.967838109	Carboxylic acids and derivatives	0.999169469	Organic acids and derivatives	0.999948978	"Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Amino acids and derivatives; Monoalkylamines; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Monocarboxylic acids and derivatives; N-acyl-alpha amino acids and derivatives; Secondary carboxylic acid amides; Carbonyl compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"
1024_Fetures_interest_MSV000079949_SIRIUS_fix_210961	C11H18O3	[M + Na]+	Fatty acids	0.735284686	Fatty esters	0.476392984	Bisabolane sesquiterpenoids	0.445358455	Benzene and substituted derivatives	0.73074621					Benzene and substituted derivatives	0.73074621	Benzenoids	0.318616271	Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acid esters; Carbonyl compounds; Benzene and substituted derivatives; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities
1026_Fetures_interest_MSV000079949_SIRIUS_fix_2118028	C25H37N5O7	[M + H]+	Amino acids and Peptides	0.997675121	Small peptides	0.957876384	Tripeptides	0.725449383	Oligopeptides	0.948282957	Peptides	0.997578204	"Amino acids, peptides, and analogues"	0.999893546	Carboxylic acids and derivatives	0.999967813	Organic acids and derivatives	0.999999523	"Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Phenethylamines; Amphetamines and derivatives; Pyrrolidines; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Amino acids and derivatives; Peptides; Monoalkylamines; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; N-acyl-alpha amino acids and derivatives; Carboxylic acids; Secondary carboxylic acid amides; Tertiary carboxylic acid amides; Carbonyl compounds; Pyrrolidine carboxylic acids and derivatives; Benzene and substituted derivatives; Alpha amino acid amides; N-acyl-alpha amino acids; Benzenoids; Amines; Primary amines; Fatty Acyls; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Amino acids; Phenylalanine and derivatives; Proline and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Oligopeptides; Chemical entities"
1027_Fetures_interest_MSV000079949_SIRIUS_fix_2118086	C25H37N5O7	[M + H]+	Amino acids and Peptides	0.999124587	Small peptides	0.875578821	Tripeptides	0.558426559	Oligopeptides	0.873284638	Peptides	0.993722975	"Amino acids, peptides, and analogues"	0.998937666	Carboxylic acids and derivatives	0.999961853	Organic acids and derivatives	0.99999702	"Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Phenethylamines; Amphetamines and derivatives; Pyrrolidines; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Amino acids and derivatives; Peptides; Hydroxamic acids; Monoalkylamines; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Monocarboxylic acids and derivatives; N-acyl-alpha amino acids and derivatives; Carboxylic acids; Primary carboxylic acid amides; Secondary carboxylic acid amides; Tertiary carboxylic acid amides; Carbonyl compounds; Pyrrolidine carboxylic acids and derivatives; Benzene and substituted derivatives; Alpha amino acid amides; N-acyl-alpha amino acids; Benzenoids; Amines; N-acylpyrrolidines; Fatty Acyls; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Amino acids; Proline and derivatives; Isoleucine and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Oligopeptides; Chemical entities"
1028_Fetures_interest_MSV000079949_SIRIUS_fix_2118107	C25H43N3O6	[M + K]+	Amino acids and Peptides	0.959976733	Small peptides	0.938651562	Tripeptides	0.784647048	Peptides	0.927949131	Peptides	0.927949131	"Amino acids, peptides, and analogues"	0.995816529	Carboxylic acids and derivatives	0.996505141	Organic acids and derivatives	0.999878883	"Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Amphetamines and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty acid esters; Fatty amides; Amino acids and derivatives; Peptides; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Monocarboxylic acids and derivatives; N-acyl-alpha amino acids and derivatives; Carboxylic acids; Secondary carboxylic acid amides; Carbonyl compounds; Alpha amino acid amides; N-acyl-alpha amino acids; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Phenylalanine and derivatives; Leucine and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"
103_Fetures_interest_MSV000079949_SIRIUS_fix_109335	C5H7O4P	[M + K]+	Fatty acids	0.199554041	Fatty esters	0.509151101	Wax monoesters	0.323995471	Monocarboxylic acids and derivatives	0.537705719			Monocarboxylic acids and derivatives	0.537705719	Carboxylic acids and derivatives	0.279406101	Organic acids and derivatives	0.851286113	Organic compounds; Organic acids and derivatives; Organooxygen compounds; Organophosphorus compounds; Monocarboxylic acids and derivatives; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities
1030_Fetures_interest_MSV000079949_SIRIUS_fix_2120091	C31H50O5	[M + H3N + H]+	Terpenoids	0.57166177	Linear polyketides	0.495446563	Open-chain polyketides	0.910415947	Fatty acid esters	0.751078248			Fatty acid esters	0.751078248	Fatty Acyls	0.790329337	Lipids and lipid-like molecules	0.953240812	Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Fatty acid esters; Dicarboxylic acids and derivatives; Carboxylic acid derivatives; Carboxylic acid esters; Carbonyl compounds; Fatty Acyls; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities
1031_Fetures_interest_MSV000079949_SIRIUS_fix_2120104	C31H50O5	[M + H3N + H]+	Terpenoids	0.579908311	Steroids	0.360938817	Simple phenolic acids	0.258811057	Steroids and steroid derivatives	0.588347495					Steroids and steroid derivatives	0.588347495	Lipids and lipid-like molecules	0.87485677	Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Steroids and steroid derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Dicarboxylic acids and derivatives; Carboxylic acid derivatives; Carboxylic acid esters; Carbonyl compounds; Benzenoids; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities
